track_id,raw_track_id,class_name,class_votes,start_time,end_time,duration_sec,frame_count,detection_count,mean_confidence,max_displacement_px,track_status,exclude_reason
mot_0001,1,car,"{""car"": 80}",0.00,1.64,1.64,80,80,0.7244,100.90,target_review_candidate,
mot_0002,2,car,"{""car"": 331}",0.00,6.60,6.60,331,331,0.8769,752.78,target_review_candidate,
mot_0003,3,car,"{""car"": 455}",0.00,9.08,9.08,455,455,0.7770,789.81,target_review_candidate,
mot_0004,4,car,"{""car"": 243}",0.00,4.86,4.86,243,243,0.8990,609.70,target_review_candidate,
mot_0005,5,car,"{""car"": 11}",0.00,0.20,0.20,11,11,0.7083,22.66,excluded,too_short_for_target_review
mot_0006,6,car,"{""car"": 280}",0.00,5.58,5.58,280,280,0.7706,389.51,target_review_candidate,
mot_0007,7,car,"{""car"": 384}",0.00,7.70,7.70,384,384,0.7729,539.11,target_review_candidate,
mot_0008,8,car,"{""car"": 193}",0.00,4.28,4.28,193,193,0.7622,316.12,target_review_candidate,
mot_0009,9,bus,"{""bus"": 166, ""car"": 21, ""truck"": 143}",0.00,6.80,6.80,330,330,0.5660,528.79,target_review_candidate,
mot_0010,10,car,"{""car"": 1999}",0.00,39.98,39.98,1999,1999,0.8396,4.12,target_review_candidate,
mot_0011,11,car,"{""bus"": 1, ""car"": 1225, ""truck"": 588}",0.00,36.44,36.44,1814,1814,0.5373,932.00,target_review_candidate,
mot_0012,12,car,"{""car"": 1528}",0.00,30.54,30.54,1528,1528,0.5836,2.22,target_review_candidate,
mot_0013,13,car,"{""car"": 870}",0.00,18.64,18.64,870,870,0.3400,3.16,target_review_candidate,
mot_0017,17,truck,"{""bus"": 1, ""truck"": 8}",0.20,0.36,0.16,9,9,0.5838,8.80,excluded,too_short_for_target_review
mot_0027,27,bus,"{""bus"": 1, ""truck"": 1}",0.52,0.54,0.02,2,2,0.5141,1.01,excluded,too_short_for_target_review
mot_0028,28,bus,"{""bus"": 37, ""truck"": 31}",0.60,1.94,1.34,68,68,0.5360,93.59,target_review_candidate,
mot_0031,31,car,"{""car"": 3}",0.64,0.68,0.04,3,3,0.5903,3.61,excluded,too_short_for_target_review
mot_0047,47,car,"{""car"": 2}",1.40,1.42,0.02,2,2,0.4177,1.43,excluded,too_short_for_target_review
mot_0048,48,car,"{""car"": 1}",1.50,1.50,0.00,1,1,0.4606,0.00,excluded,single_sample_track
mot_0064,64,truck,"{""car"": 2, ""truck"": 12}",1.76,2.02,0.26,14,14,0.3271,0.25,excluded,too_short_for_target_review
mot_0080,80,car,"{""car"": 116}",2.02,5.52,3.50,116,116,0.3260,0.83,target_review_candidate,
mot_0082,82,bus,"{""bus"": 3, ""truck"": 2}",2.04,2.12,0.08,5,5,0.5571,7.26,excluded,too_short_for_target_review
mot_0083,83,car,"{""car"": 181}",2.08,6.64,4.56,181,181,0.4421,171.06,target_review_candidate,
mot_0085,85,bus,"{""bus"": 7, ""truck"": 5}",2.20,2.44,0.24,12,12,0.5568,20.03,excluded,too_short_for_target_review
mot_0091,91,car,"{""car"": 2}",2.34,2.36,0.02,2,2,0.5729,1.97,excluded,too_short_for_target_review
mot_0094,94,car,"{""car"": 13}",2.48,2.72,0.24,13,13,0.2968,0.57,excluded,too_short_for_target_review
mot_0097,97,car,"{""car"": 3, ""truck"": 1}",2.60,2.66,0.06,4,4,0.4948,0.06,excluded,too_short_for_target_review
mot_0101,101,truck,"{""bus"": 2, ""truck"": 5}",2.70,2.82,0.12,7,7,0.4758,12.35,excluded,too_short_for_target_review
mot_0104,104,car,"{""car"": 1860}",2.80,39.98,37.18,1860,1860,0.9181,275.31,target_review_candidate,
mot_0109,109,car,"{""car"": 5}",2.94,3.06,0.12,5,5,0.3274,5.23,excluded,too_short_for_target_review
mot_0124,124,bus,"{""bus"": 2}",3.84,3.86,0.02,2,2,0.3051,1.90,excluded,too_short_for_target_review
mot_0134,134,car,"{""car"": 315, ""truck"": 279}",4.30,16.16,11.86,594,594,0.4027,1.23,target_review_candidate,
mot_0137,137,car,"{""car"": 1781}",4.38,39.98,35.60,1781,1781,0.9126,412.05,target_review_candidate,
mot_0139,139,bus,"{""bus"": 2, ""truck"": 1}",4.52,4.56,0.04,3,3,0.4233,2.55,excluded,too_short_for_target_review
mot_0145,145,car,"{""car"": 2}",4.68,4.70,0.02,2,2,0.3312,0.68,excluded,too_short_for_target_review
mot_0147,147,bus,"{""bus"": 2, ""truck"": 1}",4.74,4.78,0.04,3,3,0.3810,3.16,excluded,too_short_for_target_review
mot_0152,152,bus,"{""bus"": 14, ""truck"": 8}",4.88,5.30,0.42,22,22,0.5008,39.35,excluded,too_short_for_target_review
mot_0157,157,car,"{""car"": 2}",4.94,4.96,0.02,2,2,0.2863,0.55,excluded,too_short_for_target_review
mot_0163,163,truck,"{""truck"": 1}",5.56,5.56,0.00,1,1,0.3300,0.00,excluded,single_sample_track
mot_0165,165,truck,"{""bus"": 1, ""truck"": 5}",5.62,5.72,0.10,6,6,0.3994,9.02,excluded,too_short_for_target_review
mot_0166,166,car,"{""car"": 31}",5.64,6.24,0.60,31,31,0.5975,32.05,target_review_candidate,
mot_0171,171,car,"{""car"": 7}",5.90,6.36,0.46,7,7,0.3748,17.01,excluded,too_short_for_target_review
mot_0176,176,car,"{""car"": 1}",6.16,6.16,0.00,1,1,0.3145,0.00,excluded,single_sample_track
mot_0177,177,car,"{""bus"": 3, ""car"": 10, ""truck"": 1}",6.24,6.50,0.26,14,14,0.4109,11.34,excluded,too_short_for_target_review
mot_0181,181,car,"{""car"": 4}",6.42,6.48,0.06,4,4,0.3232,6.30,excluded,too_short_for_target_review
mot_0188,188,car,"{""car"": 9}",7.80,7.96,0.16,9,9,0.3794,4.69,excluded,too_short_for_target_review
mot_0189,189,car,"{""car"": 446}",8.10,17.02,8.92,446,446,0.8963,1053.19,target_review_candidate,
mot_0193,193,car,"{""car"": 9}",10.00,10.16,0.16,9,9,0.4695,9.10,excluded,too_short_for_target_review
mot_0195,195,car,"{""car"": 1453}",10.94,39.98,29.04,1453,1453,0.8805,349.18,target_review_candidate,
mot_0203,203,car,"{""car"": 22}",12.36,12.78,0.42,22,22,0.2894,0.15,excluded,too_short_for_target_review
mot_0204,204,car,"{""car"": 15}",12.38,12.76,0.38,15,15,0.3166,29.03,excluded,too_short_for_target_review
mot_0209,209,car,"{""car"": 1364}",12.68,39.98,27.30,1364,1364,0.9142,139.74,target_review_candidate,
mot_0213,213,car,"{""car"": 1}",13.00,13.00,0.00,1,1,0.3189,0.00,excluded,single_sample_track
mot_0214,214,car,"{""car"": 2}",13.14,13.16,0.02,2,2,0.7012,0.50,excluded,too_short_for_target_review
